gene_symbol,category,gene_id,available,cox_rank,meta_cox_z
CA9,hypoxia_metabolism_acinar_program,ENSG00000107159.13,True,1638,2.1959532531073687
LOX,stroma_ecm_invasion,ENSG00000113083.15,True,1915,2.1167485523826675
HIF1A,hypoxia_metabolism_acinar_program,ENSG00000100644.17,True,2436,1.978503662990632
MCM4,proliferation_cell_cycle_apoptosis,ENSG00000104738.18,True,2681,1.9242207365696242
ITGB4,stroma_ecm_invasion,ENSG00000132470.14,True,2796,1.904253004616988
FOXP3,immune_inflammation_tgf_beta,ENSG00000049768.16,True,2943,-1.8686456356963277
CTLA4,immune_inflammation_tgf_beta,ENSG00000163599.17,True,2966,-1.864509343364352
COL1A2,stroma_ecm_invasion,ENSG00000164692.18,True,3038,1.8451688961444666
VIM,basal_squamous_mesenchymal,ENSG00000026025.16,True,3054,1.841851440193468
CCNB1,proliferation_cell_cycle_apoptosis,ENSG00000134057.15,True,3181,1.814019532058066
CDKN2A,core_driver_tumor_suppressor,ENSG00000147889.18,True,3294,1.78548056854691
FOXA3,classical_pancreatic_progenitor,ENSG00000170608.3,True,3371,-1.7715793970931362
FN1,stroma_ecm_invasion,ENSG00000115414.21,True,3441,1.7594292623205945
BRCA1,dna_damage_repair_therapy,ENSG00000012048.23,True,3499,1.7505057223842602
PTEN,core_driver_tumor_suppressor,ENSG00000171862.11,True,3579,1.7346220341344711
S100A2,basal_squamous_mesenchymal,ENSG00000196754.13,True,3616,1.725715954162808
MMP11,stroma_ecm_invasion,ENSG00000099953.10,True,3684,1.7134320606659035
TOP2A,proliferation_cell_cycle_apoptosis,ENSG00000131747.15,True,3787,1.692220976159176
COL5A2,stroma_ecm_invasion,ENSG00000204262.14,True,3828,1.6867530527001597
KRT81,basal_squamous_mesenchymal,ENSG00000205426.10,True,3927,1.6673335974329708
MNX1,classical_pancreatic_progenitor,ENSG00000130675.15,True,3932,-1.6665450149680279
BIRC5,proliferation_cell_cycle_apoptosis,ENSG00000089685.15,True,3943,1.6641644738280532
COL3A1,stroma_ecm_invasion,ENSG00000168542.16,True,3990,1.6570687886497415
BCL2,proliferation_cell_cycle_apoptosis,ENSG00000171791.14,True,4108,-1.6341616304438096
ITGA3,stroma_ecm_invasion,ENSG00000005884.18,True,4121,1.632265384112095
FAP,stroma_ecm_invasion,ENSG00000078098.14,True,4202,1.6192327623993503
MMP14,stroma_ecm_invasion,ENSG00000157227.13,True,4211,1.6184724633881558
PALB2,dna_damage_repair_therapy,ENSG00000083093.10,True,4229,1.6164021747104584
AGR2,classical_pancreatic_progenitor,ENSG00000106541.12,True,4766,-1.5287719796494872
CEACAM6,classical_pancreatic_progenitor,ENSG00000086548.9,True,4825,-1.5208415253167185
ENO1,hypoxia_metabolism_acinar_program,ENSG00000074800.16,True,4848,1.5170308546887072
TFF1,classical_pancreatic_progenitor,ENSG00000160182.3,True,4893,-1.5098512546120357
AURKA,proliferation_cell_cycle_apoptosis,ENSG00000087586.18,True,4965,1.4994840857130198
ZEB1,basal_squamous_mesenchymal,ENSG00000148516.22,True,5003,1.493850226263447
TWIST1,basal_squamous_mesenchymal,ENSG00000122691.13,True,5157,1.4727299159027314
PLAU,stroma_ecm_invasion,ENSG00000122861.16,True,5264,1.4571813971135483
