rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,meta_cox_z,meta_cox_p,direction
4733,ENSG00000186684.14,91,50,1.4860448398664348,0.1372672609563041,1.4860448398664348,0.13726726095630376,higher_expr_higher_risk
4734,ENSG00000175084.12,91,50,-1.4858808128684158,0.1373106495645736,-1.4858808128684158,0.13731064956457317,higher_expr_lower_risk
4735,ENSG00000160221.18,91,50,-1.485714872156049,0.1373545551527131,-1.485714872156049,0.1373545551527138,higher_expr_lower_risk
4736,ENSG00000142208.17,91,50,-1.4853817721123623,0.13744272143655822,-1.4853817721123623,0.13744272143655795,higher_expr_lower_risk
4737,ENSG00000049130.16,91,50,1.4853156044834785,0.1374602401498108,1.4853156044834785,0.1374602401498108,higher_expr_higher_risk
4738,ENSG00000165959.12,91,50,-1.4851168491745448,0.1375128734758461,-1.4851168491745448,0.13751287347584507,higher_expr_lower_risk
4739,ENSG00000038295.8,91,50,-1.4850088966365493,0.13754146740555023,-1.4850088966365493,0.13754146740555015,higher_expr_lower_risk
4740,ENSG00000175416.16,91,50,1.484810085182783,0.13759413958744118,1.484810085182783,0.1375941395874411,higher_expr_higher_risk
4741,ENSG00000135999.12,91,50,-1.4847931853509808,0.1375986176673763,-1.4847931853509808,0.13759861766737638,higher_expr_lower_risk
4742,ENSG00000100968.14,91,50,-1.4847863560711307,0.13760042730667774,-1.4847863560711307,0.13760042730667796,higher_expr_lower_risk
4743,ENSG00000101452.15,91,50,-1.4845895546156762,0.13765258412238027,-1.4845895546156762,0.1376525841223813,higher_expr_lower_risk
4744,ENSG00000123171.7,91,50,-1.4845699658904288,0.13765777640947535,-1.4845699658904288,0.13765777640947524,higher_expr_lower_risk
4745,ENSG00000196345.13,91,50,-1.4845504517504782,0.13766294907674814,-1.4845504517504782,0.13766294907674845,higher_expr_lower_risk
4746,ENSG00000185873.8,91,50,1.4845442327633225,0.1376645975924339,1.4845442327633225,0.13766459759243377,higher_expr_higher_risk
4747,ENSG00000167483.19,91,50,-1.4843747905844522,0.13770951881602742,-1.4843747905844522,0.13770951881602808,higher_expr_lower_risk
4748,ENSG00000167755.15,91,50,1.4843372013286158,0.13771948572543444,1.4843372013286158,0.1377194857254345,higher_expr_higher_risk
4749,ENSG00000135976.20,91,50,-1.484323991675258,0.137722988438623,-1.484323991675258,0.13772298843862266,higher_expr_lower_risk
