rank,gene_id,is_literature_curated
505,ENSG00000010319.7,False
506,ENSG00000065618.21,False
507,ENSG00000172379.21,False
508,ENSG00000189319.14,False
509,ENSG00000175600.16,False
510,ENSG00000157036.13,False
511,ENSG00000221867.9,False
512,ENSG00000163900.11,False
513,ENSG00000103978.16,False
514,ENSG00000205413.8,False
515,ENSG00000115415.20,False
516,ENSG00000196562.14,False
517,ENSG00000172534.14,False
518,ENSG00000112146.17,False
519,ENSG00000184900.16,False
520,ENSG00000065665.21,False
521,ENSG00000123297.20,False
522,ENSG00000129451.12,False
523,ENSG00000204296.11,False
524,ENSG00000002746.15,False
525,ENSG00000167676.4,False
526,ENSG00000144711.16,False
527,ENSG00000197054.12,False
528,ENSG00000135596.18,False
529,ENSG00000175787.17,False
530,ENSG00000146376.11,False
531,ENSG00000116030.17,False
532,ENSG00000188641.14,False
533,ENSG00000104147.9,False
534,ENSG00000100150.20,False
535,ENSG00000167395.10,False
536,ENSG00000116852.15,False
537,ENSG00000162627.17,False
538,ENSG00000107263.18,False
539,ENSG00000138814.17,False
540,ENSG00000189046.11,False
541,ENSG00000058056.9,False
542,ENSG00000261582.1,False
543,ENSG00000180329.14,False
544,ENSG00000175718.10,False
545,ENSG00000143434.16,False
546,ENSG00000161057.13,False
547,ENSG00000268916.6,False
548,ENSG00000172927.8,False
549,ENSG00000187758.8,False
550,ENSG00000276043.5,False
551,ENSG00000178252.18,False
552,ENSG00000242616.4,False
553,ENSG00000187608.10,False
554,ENSG00000197587.11,False
555,ENSG00000230626.4,False
556,ENSG00000151725.12,False
557,ENSG00000178343.5,False
558,ENSG00000126067.12,False
559,ENSG00000008710.20,False
560,ENSG00000106355.10,False
561,ENSG00000116141.17,False
562,ENSG00000158786.5,False
563,ENSG00000133111.4,False
564,ENSG00000173728.11,False
565,ENSG00000095637.22,False
566,ENSG00000285589.1,False
567,ENSG00000144182.17,False
568,ENSG00000153391.16,False
569,ENSG00000102158.20,False
570,ENSG00000166710.21,False
571,ENSG00000061794.13,False
572,ENSG00000257093.7,False
573,ENSG00000256892.2,False
574,ENSG00000125743.10,False
575,ENSG00000171552.14,False
576,ENSG00000092421.17,False
577,ENSG00000173156.7,False
578,ENSG00000137767.14,False
579,ENSG00000185885.16,False
580,ENSG00000189339.12,False
581,ENSG00000038358.15,False
582,ENSG00000108523.16,False
583,ENSG00000109270.13,False
584,ENSG00000148175.13,False
585,ENSG00000186471.13,False
586,ENSG00000127125.9,False
587,ENSG00000136689.19,False
588,ENSG00000274211.6,False
589,ENSG00000178538.10,False
590,ENSG00000185271.9,False
591,ENSG00000143393.16,False
592,ENSG00000169245.6,False
593,ENSG00000164176.13,False
594,ENSG00000186871.7,False
