gene_id,gene_symbol,source
ENSG00000100577.19,GSTZ1,gyorffy_survival
ENSG00000172432.19,GTPBP2,gyorffy_survival
ENSG00000169919.17,GUSB,literature_oncotype_dx
ENSG00000113088.6,GZMK,gyorffy_survival
ENSG00000213397.10,HAUS7,gyorffy_survival
ENSG00000135077.9,HAVCR2,gyorffy_survival
ENSG00000094631.21,HDAC6,gyorffy_survival
ENSG00000013583.10,HEBP1,gyorffy_survival
ENSG00000138646.9,HERC5,gyorffy_survival
ENSG00000100644.17,HIF1A,gyorffy_survival
ENSG00000127946.17,HIP1,gyorffy_survival
ENSG00000156515.24,HK1,gyorffy_survival
ENSG00000159399.10,HK2,literature_pan_cancer
ENSG00000204257.15,HLA-DMA,gyorffy_survival
ENSG00000242574.9,HLA-DMB,gyorffy_survival
ENSG00000241106.8,HLA-DOB,gyorffy_survival
ENSG00000231389.7,HLA-DPA1,gyorffy_survival
ENSG00000223865.11,HLA-DPB1,gyorffy_survival
ENSG00000204287.14,HLA-DRA,gyorffy_survival
ENSG00000204592.9,HLA-E,gyorffy_survival
ENSG00000101294.18,HM13,gyorffy_survival
ENSG00000117305.15,HMGCL,gyorffy_survival
ENSG00000072571.20,HMMR,gyorffy_survival
ENSG00000127483.19,HP1BP3,gyorffy_survival
ENSG00000105707.14,HPN,gyorffy_survival
ENSG00000126803.9,HSPA2,gyorffy_survival
ENSG00000106211.10,HSPB1,gyorffy_survival
ENSG00000152137.8,HSPB8,gyorffy_survival
ENSG00000131203.13,IDO1,gyorffy_survival
ENSG00000163565.19,IFI16,gyorffy_survival
ENSG00000137959.16,IFI44L,gyorffy_survival
ENSG00000185745.10,IFIT1,gyorffy_survival
ENSG00000163913.12,IFT122,gyorffy_survival
ENSG00000089289.16,IGBP1,gyorffy_survival
ENSG00000115457.10,IGFBP2,gyorffy_survival
ENSG00000115461.5,IGFBP5,gyorffy_survival
ENSG00000182700.5,IGIP,gyorffy_survival
ENSG00000136244.12,IL6,literature_pan_cancer
ENSG00000160712.13,IL6R,literature_pan_cancer
ENSG00000134352.20,IL6ST,gyorffy_survival
ENSG00000177971.8,IMP3,gyorffy_survival
ENSG00000178035.13,IMPDH2,gyorffy_survival
ENSG00000148798.11,INA,gyorffy_survival
ENSG00000257704.4,INAFM1,gyorffy_survival
ENSG00000109452.12,INPP4B,gyorffy_survival
ENSG00000185133.14,INPP5J,gyorffy_survival
ENSG00000138785.15,INTS12,gyorffy_survival
ENSG00000173226.17,IQCB1,gyorffy_survival
ENSG00000174628.16,IQCK,gyorffy_survival
ENSG00000140968.11,IRF8,gyorffy_survival
ENSG00000176842.15,IRX5,gyorffy_survival
ENSG00000187608.10,ISG15,gyorffy_survival
ENSG00000164171.11,ITGA2,literature_pan_cancer
ENSG00000005884.18,ITGA3,literature_pan_cancer
ENSG00000161638.11,ITGA5,gyorffy_survival
ENSG00000091409.15,ITGA6,literature_pan_cancer
ENSG00000150093.20,ITGB1,literature_pan_cancer
ENSG00000119185.13,ITGB1BP1,gyorffy_survival
ENSG00000132470.14,ITGB4,literature_pan_cancer
ENSG00000082781.12,ITGB5,gyorffy_survival
ENSG00000183340.7,JRKL,gyorffy_survival
ENSG00000186625.14,KATNA1,gyorffy_survival
ENSG00000140854.13,KATNB1,gyorffy_survival
ENSG00000152049.6,KCNE4,gyorffy_survival
ENSG00000153885.14,KCTD15,gyorffy_survival
ENSG00000147050.16,KDM6A,core_driver_pan_cancer
ENSG00000007202.15,KIAA0100,gyorffy_survival
ENSG00000122203.15,KIAA1191,gyorffy_survival
ENSG00000138160.7,KIF11,gyorffy_survival
ENSG00000197892.13,KIF13B,gyorffy_survival
ENSG00000163808.17,KIF15,gyorffy_survival
ENSG00000186185.14,KIF18B,gyorffy_survival
ENSG00000112984.12,KIF20A,gyorffy_survival
ENSG00000142945.13,KIF2C,gyorffy_survival
ENSG00000090889.12,KIF4A,gyorffy_survival
ENSG00000172059.11,KLF11,gyorffy_survival
ENSG00000102554.14,KLF5,literature_pan_cancer
ENSG00000165516.11,KLHDC2,gyorffy_survival
ENSG00000076321.11,KLHL20,gyorffy_survival
ENSG00000135686.13,KLHL36,gyorffy_survival
ENSG00000087448.11,KLHL42,gyorffy_survival
ENSG00000184445.12,KNTC1,gyorffy_survival
ENSG00000025800.14,KPNA6,gyorffy_survival
ENSG00000133703.13,KRAS,core_driver_pan_cancer
ENSG00000186847.6,KRT14,literature_pam50
ENSG00000128422.17,KRT17,literature_pam50
ENSG00000111057.11,KRT18,gyorffy_survival
ENSG00000171360.4,KRT38,gyorffy_survival
ENSG00000186081.12,KRT5,literature_pam50
ENSG00000205420.11,KRT6A,literature_pan_cancer
ENSG00000185479.6,KRT6B,literature_pan_cancer
ENSG00000167767.14,KRT80,gyorffy_survival
ENSG00000205426.10,KRT81,literature_pan_cancer
ENSG00000159166.15,LAD1,gyorffy_survival
ENSG00000172037.14,LAMB2,gyorffy_survival
ENSG00000058085.15,LAMC2,literature_pan_cancer
ENSG00000104341.17,LAPTM4B,gyorffy_survival
ENSG00000143815.15,LBR,gyorffy_survival
ENSG00000196233.14,LCOR,gyorffy_survival
ENSG00000043462.13,LCP2,gyorffy_survival
ENSG00000134333.14,LDHA,literature_pan_cancer
ENSG00000166477.13,LEO1,gyorffy_survival
ENSG00000213625.9,LEPROT,gyorffy_survival
