gene_id,gene_symbol,source
ENSG00000114988.12,LMAN2L,gyorffy_survival
ENSG00000113368.12,LMNB1,gyorffy_survival
ENSG00000113083.15,LOX,literature_pan_cancer
ENSG00000134324.12,LPIN1,gyorffy_survival
ENSG00000198589.14,LRBA,gyorffy_survival
ENSG00000147650.11,LRP12,gyorffy_survival
ENSG00000165501.17,LRR1,gyorffy_survival
ENSG00000171492.14,LRRC8D,gyorffy_survival
ENSG00000041802.11,LSG1,gyorffy_survival
ENSG00000119681.12,LTBP2,gyorffy_survival
ENSG00000139329.5,LUM,literature_pan_cancer
ENSG00000254087.8,LYN,gyorffy_survival
ENSG00000090382.7,LYZ,gyorffy_survival
ENSG00000164109.14,MAD2L1,gyorffy_survival
ENSG00000198517.10,MAFK,gyorffy_survival
ENSG00000187391.22,MAGI2,gyorffy_survival
ENSG00000189221.10,MAOA,gyorffy_survival
ENSG00000069535.14,MAOB,gyorffy_survival
ENSG00000065559.15,MAP2K4,gyorffy_survival
ENSG00000071054.16,MAP4K4,gyorffy_survival
ENSG00000101367.9,MAPRE1,gyorffy_survival
ENSG00000186868.16,MAPT,literature_pam50
ENSG00000155254.13,MARVELD1,gyorffy_survival
ENSG00000131844.16,MCCC2,gyorffy_survival
ENSG00000073111.14,MCM2,literature_pan_cancer
ENSG00000112118.20,MCM3,gyorffy_survival
ENSG00000104738.18,MCM4,literature_pan_cancer
ENSG00000076003.5,MCM6,literature_pan_cancer
ENSG00000153898.13,MCOLN2,gyorffy_survival
ENSG00000014641.21,MDH1,gyorffy_survival
ENSG00000135679.25,MDM2,literature_pam50
ENSG00000065833.9,ME1,gyorffy_survival
ENSG00000106780.9,MEGF9,gyorffy_survival
ENSG00000165304.8,MELK,gyorffy_survival
ENSG00000146834.14,MEPCE,gyorffy_survival
ENSG00000153208.17,MERTK,gyorffy_survival
ENSG00000105976.16,MET,literature_pan_cancer
ENSG00000085871.9,MGST2,gyorffy_survival
ENSG00000261857.7,MIA,literature_pam50
ENSG00000159055.4,MIS18A,gyorffy_survival
ENSG00000148773.14,MKI67,gyorffy_survival
ENSG00000076242.16,MLH1,literature_pan_cancer
ENSG00000115648.14,MLPH,literature_pam50
ENSG00000175727.14,MLXIP,gyorffy_survival
ENSG00000099953.10,MMP11,literature_pam50
ENSG00000262406.3,MMP12,gyorffy_survival
ENSG00000157227.13,MMP14,literature_pan_cancer
ENSG00000087245.13,MMP2,literature_pan_cancer
ENSG00000137673.9,MMP7,literature_pan_cancer
ENSG00000100985.7,MMP9,literature_pan_cancer
ENSG00000173269.14,MMRN2,gyorffy_survival
ENSG00000165943.5,MOAP1,gyorffy_survival
ENSG00000101928.13,MOSPD1,gyorffy_survival
ENSG00000129255.16,MPDU1,gyorffy_survival
ENSG00000103152.12,MPG,gyorffy_survival
ENSG00000154889.17,MPPE1,gyorffy_survival
ENSG00000128309.16,MPST,gyorffy_survival
ENSG00000153029.14,MR1,gyorffy_survival
ENSG00000118242.16,MREG,gyorffy_survival
ENSG00000179010.14,MRFAP1,gyorffy_survival
ENSG00000122140.11,MRPS2,gyorffy_survival
ENSG00000061794.13,MRPS35,gyorffy_survival
ENSG00000110077.14,MS4A6A,gyorffy_survival
ENSG00000095002.15,MSH2,literature_pan_cancer
ENSG00000116062.17,MSH6,literature_pan_cancer
ENSG00000146410.12,MTFR2,gyorffy_survival
ENSG00000107951.15,MTPAP,gyorffy_survival
ENSG00000172732.12,MUS81,gyorffy_survival
ENSG00000132781.19,MUTYH,gyorffy_survival
ENSG00000157601.14,MX1,gyorffy_survival
ENSG00000183486.13,MX2,gyorffy_survival
ENSG00000162576.17,MXRA8,gyorffy_survival
ENSG00000118513.19,MYB,gyorffy_survival
ENSG00000101057.16,MYBL2,gyorffy_survival
ENSG00000136997.21,MYC,literature_pam50
ENSG00000145555.15,MYO10,gyorffy_survival
ENSG00000197879.17,MYO1C,gyorffy_survival
ENSG00000128833.13,MYO5C,gyorffy_survival
ENSG00000148411.8,NACC2,gyorffy_survival
ENSG00000145414.9,NAF1,gyorffy_survival
ENSG00000105402.8,NAPA,gyorffy_survival
ENSG00000171428.15,NAT1,gyorffy_survival
ENSG00000080986.13,NDC80,literature_pam50
ENSG00000109390.13,NDUFC1,gyorffy_survival
ENSG00000117650.13,NEK2,gyorffy_survival
ENSG00000141905.19,NFIC,gyorffy_survival
ENSG00000131669.10,NINJ1,gyorffy_survival
ENSG00000103024.7,NME3,gyorffy_survival
ENSG00000112981.5,NME5,gyorffy_survival
ENSG00000172113.9,NME6,gyorffy_survival
ENSG00000101361.17,NOP56,gyorffy_survival
ENSG00000107281.10,NPDC1,gyorffy_survival
ENSG00000168743.13,NPNT,gyorffy_survival
ENSG00000164128.7,NPY1R,gyorffy_survival
ENSG00000174738.13,NR1D2,gyorffy_survival
ENSG00000147383.11,NSDHL,gyorffy_survival
ENSG00000126653.18,NSRP1,gyorffy_survival
ENSG00000170502.13,NUDT9,gyorffy_survival
ENSG00000143228.13,NUF2,literature_pam50
ENSG00000108256.9,NUFIP2,gyorffy_survival
ENSG00000137497.18,NUMA1,gyorffy_survival
ENSG00000155561.15,NUP205,gyorffy_survival
ENSG00000137804.14,NUSAP1,gyorffy_survival
ENSG00000167693.17,NXN,gyorffy_survival
ENSG00000089127.14,OAS1,gyorffy_survival
ENSG00000111331.13,OAS3,gyorffy_survival
ENSG00000135114.12,OASL,gyorffy_survival
ENSG00000109180.15,OCIAD1,gyorffy_survival
ENSG00000091651.9,ORC6,literature_pam50
ENSG00000165312.6,OTUD1,gyorffy_survival
ENSG00000135124.15,P2RX4,gyorffy_survival
ENSG00000122884.12,P4HA1,gyorffy_survival
ENSG00000083093.10,PALB2,literature_pan_cancer
ENSG00000059378.13,PARP12,gyorffy_survival
ENSG00000041880.14,PARP3,gyorffy_survival
ENSG00000166228.9,PCBD1,gyorffy_survival
ENSG00000126226.22,PCID2,gyorffy_survival
ENSG00000132646.11,PCNA,gyorffy_survival
ENSG00000160299.17,PCNT,gyorffy_survival
