rank,gene_id,cox_z,cox_p
175,ENSG00000148377.6,3.1360041364155826,0.0017126678806414367
176,ENSG00000103460.17,-3.129956919384919,0.0017483194096630467
177,ENSG00000284505.1,3.129656025656596,0.0017501110320005436
178,ENSG00000064393.16,-3.1289269321598545,0.0017544593027591941
179,ENSG00000175928.6,-3.1244787269215135,0.0017812040092959887
180,ENSG00000198160.15,-3.1239650078160235,0.0017843167519943266
181,ENSG00000070018.9,-3.12235621305647,0.0017940971880861837
182,ENSG00000136830.12,3.121609151776591,0.0017986555718936413
183,ENSG00000130054.5,3.117247145768694,0.0018254846661570098
184,ENSG00000125775.15,3.1159463277098873,0.0018335564158517704
185,ENSG00000162373.13,-3.114065512922881,0.0018452851219279093
186,ENSG00000128564.7,3.1132484749005425,0.0018504015910884735
187,ENSG00000250571.7,3.111824389954656,0.0018593506878178043
188,ENSG00000151376.17,-3.109812532867184,0.0018720611806479013
189,ENSG00000196150.14,3.101084314417394,0.0019281338033479976
190,ENSG00000176925.8,3.0996374746272926,0.0019375763674310143
191,ENSG00000177476.3,3.0964475649373138,0.00195854497518665
192,ENSG00000014164.7,3.095286098367327,0.0019662313724716786
193,ENSG00000126814.7,-3.0918813157736302,0.001988923523115285
194,ENSG00000185272.14,-3.0907598018822093,0.0019964506426551746
195,ENSG00000198440.9,-3.086347613268779,0.0020263178071964097
196,ENSG00000267368.1,3.0827576747256282,0.002050920873339535
197,ENSG00000101220.18,3.0821027582447353,0.0020554386884618302
198,ENSG00000179632.10,3.0814467258664684,0.0020599733532498327
199,ENSG00000124588.21,3.077738262202975,0.0020857802431628303
200,ENSG00000143217.9,3.076565722799655,0.0020940013433761876
201,ENSG00000115896.16,-3.073521602858385,0.002115483706288913
202,ENSG00000142185.16,3.0732421589740895,0.0021174658364048284
203,ENSG00000153094.24,-3.0686076679703365,0.002150588174982523
204,ENSG00000181958.5,3.0680964240554256,0.00215427093842112
205,ENSG00000171557.17,3.0664737635224983,0.0021659981630708968
206,ENSG00000131015.5,3.059901726923532,0.002214096288346912
207,ENSG00000231861.2,3.057936432071392,0.0022286684735682584
208,ENSG00000111554.14,-3.0573851756481107,0.0022327716607628213
209,ENSG00000232113.3,3.0546693474953437,0.002253087729025272
210,ENSG00000189051.5,3.054314207628259,0.0022557568798674842
211,ENSG00000205330.4,3.0533383243833856,0.0022631063226567294
212,ENSG00000187689.10,3.052246849813328,0.0022713522765920183
213,ENSG00000178896.9,3.0520885288410993,0.002272550654976143
214,ENSG00000167632.18,3.0517714332200647,0.002274952587783552
215,ENSG00000121741.16,-3.049039695981124,0.0022957414466632632
216,ENSG00000134590.14,3.048429433202445,0.0023004093369110227
217,ENSG00000185269.12,3.044161255635219,0.0023333003507680565
218,ENSG00000090674.16,3.0363365894687173,0.0023947187389675244
219,ENSG00000075303.13,-3.0333008420979217,0.0024189431877872166
220,ENSG00000262152.7,3.032601503653577,0.0024245554125654125
221,ENSG00000232030.3,3.0225634443972824,0.0025064353656142012
222,ENSG00000197249.14,-3.0222685232082256,0.0025088788319294272
223,ENSG00000197921.6,3.0219385551230316,0.002511615249808797
224,ENSG00000196911.11,-3.021105235921891,0.002518538105546987
225,ENSG00000136816.16,3.01733469598615,0.002550080810569425
226,ENSG00000186806.5,3.0163711035181975,0.0025581995646621874
227,ENSG00000064115.11,-3.016299559778256,0.002558803298552376
228,ENSG00000184162.15,3.008696012155087,0.002623714931653691
229,ENSG00000178718.7,3.0058955051138687,0.0026479997926497946
230,ENSG00000135549.15,-3.00408164111497,0.002663838333129505
231,ENSG00000144677.15,-2.995995053761271,0.002735508708559485
232,ENSG00000182346.20,2.99529984989848,0.00274175171651516
233,ENSG00000281613.2,2.9948761752205346,0.002745562742717101
234,ENSG00000257115.1,2.9922304673250526,0.002769471006628322
235,ENSG00000184428.13,2.9877843237555015,0.0028100778033929605
236,ENSG00000167822.3,2.98137267734764,0.002869593444046368
237,ENSG00000113196.3,2.977633673606732,0.0029048294383347854
238,ENSG00000168116.14,-2.9764271551799464,0.0029162835439875247
239,ENSG00000135222.6,2.9754837908684784,0.002925268089988454
240,ENSG00000261236.8,2.975188614770258,0.0029280845141072347
241,ENSG00000151065.14,-2.975098468783042,0.0029289451356206645
242,ENSG00000185122.11,2.9727370656773804,0.002951571782663735
243,ENSG00000182870.13,2.9712174890717273,0.0029662163869346603
244,ENSG00000159885.14,-2.9703495004220892,0.0029746111682836425
245,ENSG00000213516.10,-2.9649430022844183,0.003027390142030934
246,ENSG00000105825.14,-2.9563329515048125,0.0031132082054292406
247,ENSG00000167157.11,2.9541488630309036,0.003135327264107941
248,ENSG00000101986.12,2.950524221301645,0.0031723516980452456
249,ENSG00000163602.11,-2.946835702202742,0.0032104373102806614
250,ENSG00000172023.8,2.9462369928896748,0.0032166584102289513
251,ENSG00000142698.15,2.944297226159837,0.003236889766263831
252,ENSG00000170950.6,2.944294083287219,0.003236922639627123
253,ENSG00000189042.13,-2.9410807751801538,0.003270692325686767
254,ENSG00000104524.14,2.9381608265525916,0.0033016570130333447
255,ENSG00000143278.5,2.9352934422149097,0.003332323905180595
256,ENSG00000105438.9,2.932994962832333,0.003357093385597858
257,ENSG00000169427.8,2.9299261602465894,0.0033904255837851715
258,ENSG00000185000.12,2.9274412318720318,0.003417636429030214
259,ENSG00000104886.12,2.926069124992104,0.003432746538327445
260,ENSG00000167034.10,-2.925252825525459,0.003441764732101462
261,ENSG00000158710.15,2.923291257446609,0.003463523696835517
262,ENSG00000167657.14,2.9226434952313594,0.003470736540757876
263,ENSG00000263353.3,2.921433778652588,0.0034842433721682295
264,ENSG00000122140.11,2.916336276932625,0.0035416854860803844
265,ENSG00000077254.14,-2.9131073562072625,0.003578515514023956
266,ENSG00000168014.17,-2.9128603940063753,0.0035813467303885756
267,ENSG00000115233.12,2.9123422892512467,0.0035872929930329985
268,ENSG00000147813.16,2.907711334357299,0.003640842450444312
269,ENSG00000162623.16,-2.906595442471302,0.003653854136538491
270,ENSG00000147100.11,2.9039305891069582,0.0036850984867259147
271,ENSG00000101182.15,2.9003478825758333,0.0037274871246556814
272,ENSG00000186272.13,-2.899128724915619,0.0037420123010649398
273,ENSG00000147684.10,2.8957063820321216,0.0037830618014869453
274,ENSG00000071894.17,2.894978705566012,0.003791842545310559
275,ENSG00000081019.13,-2.8939845770995105,0.0038038684543078675
276,ENSG00000239887.6,-2.89167765465113,0.003831908788783518
277,ENSG00000234829.4,2.876575367551013,0.004020161788502768
278,ENSG00000183032.12,-2.876336128372738,0.004023210361548099
279,ENSG00000253159.3,2.869299823312754,0.004113816368289619
280,ENSG00000100401.20,2.866824070692648,0.004146134245286875
281,ENSG00000188340.2,2.866539691292978,0.004149861177488617
282,ENSG00000096006.12,2.8648351052048824,0.004172264403905027
283,ENSG00000104325.7,2.8639819486793114,0.0041835185183698755
284,ENSG00000198929.13,-2.8615709291795306,0.004215471672172189
285,ENSG00000168778.12,-2.8594054357174943,0.004244359411814095
286,ENSG00000165280.17,2.8579359354127645,0.00426406471785466
287,ENSG00000153904.21,-2.8569047644406584,0.004277941730967308
288,ENSG00000090932.11,2.8552905489157827,0.004299747332475783
289,ENSG00000125817.8,2.855073579167135,0.004302685935447224
290,ENSG00000204839.9,2.854967882985647,0.004304118126862556
291,ENSG00000178719.17,2.854187916197785,0.004314700108140588
292,ENSG00000033867.16,-2.852320083169396,0.004340137360340646
293,ENSG00000080298.15,-2.8508357311230985,0.004360449010996515
294,ENSG00000189376.12,2.8492550815092508,0.004382173087664411
295,ENSG00000196224.7,2.8463509294239993,0.004422342945628875
296,ENSG00000051180.17,2.8439147501412756,0.004456296929321816
297,ENSG00000112200.17,-2.842383773157733,0.004477755450818816
298,ENSG00000179091.5,2.841535634597193,0.004489683412912591
299,ENSG00000131115.16,-2.8415279558600948,0.004489791535704994
300,ENSG00000135974.10,-2.840437028674034,0.00450517666604115
301,ENSG00000147586.10,2.8400724423246575,0.004510328993914441
302,ENSG00000269586.7,2.838890263209645,0.004527072267561265
303,ENSG00000188785.12,-2.838212470140543,0.00453669726761119
304,ENSG00000173801.17,2.8370298279565302,0.0045535357775066745
305,ENSG00000275674.1,2.8360094718952675,0.004568109120184291
306,ENSG00000129354.12,2.8342560372872225,0.004593251439565806
307,ENSG00000213762.12,-2.83422535460005,0.004593692509006565
308,ENSG00000120963.12,2.833429891267539,0.0046051408415218684
309,ENSG00000166801.16,-2.8325954638725994,0.004617177708287507
310,ENSG00000140795.13,2.8307895177930744,0.004643326638944934
311,ENSG00000136319.12,-2.8294204214258225,0.004663239550447287
312,ENSG00000101181.17,2.8276968960273767,0.004688417399278559
313,ENSG00000115286.20,2.826888044456687,0.004700275756971345
314,ENSG00000105447.13,2.8267712118445556,0.004701990851199966
315,ENSG00000123989.14,2.8267338533093933,0.00470253939130265
316,ENSG00000146425.11,2.8267060999493694,0.004702946934905661
317,ENSG00000137857.17,2.8248051098956837,0.004730938198305314
318,ENSG00000106688.12,-2.8240244262423317,0.0047424770465193285
319,ENSG00000014216.16,2.8182803171988136,0.004828163775265877
320,ENSG00000197363.9,2.8157781831866564,0.00486592500130414
321,ENSG00000108433.17,2.815408458463868,0.004871527342320097
322,ENSG00000135924.16,2.814583291379736,0.004884051931518912
323,ENSG00000101255.11,2.8144157289487755,0.004886598790717188
324,ENSG00000172172.8,2.813293084643422,0.004903693394881601
325,ENSG00000006744.19,2.812796639890411,0.004911270037871161
326,ENSG00000215113.6,2.8123643492217827,0.00491787619682038
327,ENSG00000196220.16,-2.8111792718641238,0.004936027493968238
328,ENSG00000121904.17,2.8103890358201276,0.00494816483501953
329,ENSG00000269343.9,-2.8101041026842366,0.00495254777760738
